epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,71.5603,1.42514,1.65025,5.26096,0.00211,8.24506,0,0,0,0,0,0,0,0,1.02529,1.27812,5.25439,0.00248,0,1.89344e-05,1.89344e-05,1.89344e-05
83,72.3052,1.1984,1.48814,5.20293,0.00208,8.25235,0,0,0,0,0,0,0,0,1.02529,1.27812,5.25439,0.00248,0,1.82102e-05,1.82102e-05,1.82102e-05
84,73.1109,1.3187,1.56674,5.22305,0.00202,8.25924,0,0,0,0,0,0,0,0,1.02016,1.26885,5.24089,0.00246,0,1.74627e-05,1.74627e-05,1.74627e-05
85,73.8492,1.31103,1.58589,5.21228,0.0021,8.22715,0,0,0,0,0,0,0,0,1.02016,1.26885,5.24089,0.00246,0,1.66918e-05,1.66918e-05,1.66918e-05
86,74.5829,1.27802,1.594,5.23327,0.002,8.22359,0,0,0,0,0,0,0,0,1.02016,1.26885,5.24089,0.00246,0,1.58976e-05,1.58976e-05,1.58976e-05
87,75.2915,1.19251,1.42283,5.14695,0.00202,8.2506,0,0,0,0,0,0,0,0,1.02016,1.26885,5.24089,0.00246,0,1.50799e-05,1.50799e-05,1.50799e-05
88,76.1965,1.24216,1.44474,5.18132,0.00207,8.24819,0,0,0,0,0,0,0,0,1.01854,1.29223,5.21883,0.00245,0,1.42389e-05,1.42389e-05,1.42389e-05
89,76.8986,1.21983,1.5385,5.15549,0.00218,8.2339,0,0,0,0,0,0,0,0,1.01854,1.29223,5.21883,0.00245,0,1.33746e-05,1.33746e-05,1.33746e-05
90,77.7009,1.34301,1.51006,5.20513,0.00207,8.22001,0,0,0,0,0,0,0,0,1.01854,1.29223,5.21883,0.00245,0,1.24869e-05,1.24869e-05,1.24869e-05
91,79.1087,1.12492,1.39364,5.10144,0.00229,8.25904,0,0,0,0,0,0,0,0,1.01854,1.29223,5.21883,0.00245,0,1.15758e-05,1.15758e-05,1.15758e-05
92,79.9194,1.19383,1.44073,5.21404,0.00245,8.27443,0,0,0,0,0,0,0,0,1.0146,1.29107,5.19867,0.00244,0,1.06414e-05,1.06414e-05,1.06414e-05
93,80.6786,1.30657,1.65052,5.20392,0.00219,8.2786,0,0,0,0,0,0,0,0,1.0146,1.29107,5.19867,0.00244,0,9.68355e-06,9.68355e-06,9.68355e-06
94,81.5751,1.0688,1.35172,5.12428,0.00221,8.25206,0,0,0,0,0,0,0,0,1.0146,1.29107,5.19867,0.00244,0,8.70238e-06,8.70238e-06,8.70238e-06
95,82.2317,1.29064,2.08108,5.21812,0.0023,8.26283,0,0,0,0,0,0,0,0,1.0146,1.29107,5.19867,0.00244,0,7.69785e-06,7.69785e-06,7.69785e-06
96,82.9168,1.15726,1.71181,5.17045,0.00215,8.24953,0,0,0,0,0,0,0,0,1.02143,1.27737,5.17036,0.00245,0,6.66995e-06,6.66995e-06,6.66995e-06
97,83.5962,1.43705,1.84273,5.28909,0.00241,8.27623,0,0,0,0,0,0,0,0,1.02143,1.27737,5.17036,0.00245,0,5.61869e-06,5.61869e-06,5.61869e-06
98,84.2356,1.35778,1.60388,5.24626,0.00245,8.29019,0,0,0,0,0,0,0,0,1.02143,1.27737,5.17036,0.00245,0,4.54406e-06,4.54406e-06,4.54406e-06
99,84.8935,1.24103,1.55503,5.15915,0.00225,8.28094,0,0,0,0,0,0,0,0,1.02143,1.27737,5.17036,0.00245,0,3.44607e-06,3.44607e-06,3.44607e-06
100,85.6585,1.16196,1.51025,5.14483,0.0022,8.25899,0,0,0,0,0,0,0,0,1.02765,1.25896,5.14646,0.00246,0,2.32472e-06,2.32472e-06,2.32472e-06
